Date,Wl,Evaporation,Volume,V2,SurfaceArea,EvapVol,Initial_Conc,C2 (wt%)
2023-05-12,3.154130313,62.0792477,757.10686132887,740.718560728547,263.99,16.388300600323,2589.1246476773326,2646.408689508426
2023-05-13,3.238268854,66.9545768,779.31859476746,761.643256038028,263.99,17.675338729432003,2646.408689508426,2707.8234918226976
2023-05-14,3.415106906,71.17748138,826.00207211494,807.2119288054338,263.99,18.790143309506202,2707.8234918226976,2770.8557509513407
2023-05-15,3.507377979,75.08598009,850.36071267621,830.538764792251,263.99,19.8219478839591,2770.8557509513407,2836.986027607439
2023-05-16,3.74499024,79.10057196,913.0879734576,892.2062134658796,263.99,20.881759991720397,2836.986027607439,2903.3846476060976
2023-05-17,3.950919302,83.41484961,967.4511865349799,945.430500386436,263.99,22.020686148543902,2903.3846476060976,2971.0094196726873
2023-05-18,4.106710323,87.673747,1008.57845816877,985.43346569824,263.99,23.144992470530003,2971.0094196726873,3040.789869638911
2023-05-19,4.08696125,91.79443814,1003.3649003874999,979.1320866629213,263.99,24.232813724578598,3040.789869638911,3116.0472281610746
2023-05-20,4.162178781,95.97361987,1023.22157639619,997.8855004867087,263.99,25.336075909481302,3116.0472281610746,3195.162927378782
2023-05-21,4.229543896,100.1424042,1041.0052931050402,1014.5686998202822,263.99,26.436593284758,3195.162927378782,3278.4192143158934
2023-05-22,4.24774375,104.2280128,1045.8098725625,1018.294719463428,263.99,27.515153099072002,3278.4192143158934,3367.0047729765274
2023-05-23,4.349433677,108.0801343,1072.6549963912303,1044.1229217373732,263.99,28.532074653857002,3367.0047729765274,3459.0127440136994
2023-05-24,4.571291646,112.3414043,1131.22328162754,1101.566274306383,263.99,29.657007321156996,3459.0127440136994,3552.1382950276707
2023-05-25,4.855624396,117.761361,1206.28428430004,1175.19646260965,263.99,31.087821690389998,3552.1382950276707,3646.104066240263
2023-05-26,5.150841875,122.1804922,1284.2187465812501,1251.964318445372,263.99,32.254428135878,3646.104066240263,3740.0388532368383
2023-05-27,5.239454854,126.0414155,1307.6116869074601,1274.338013629615,263.99,33.273673277845,3740.0388532368383,3837.693344838012
2023-05-28,5.078449146,130.410176,1265.10779005254,1230.6808076902998,263.99,34.42698236224,3837.693344838012,3945.0487210402157
2023-05-29,4.676644594,135.6899578,1159.0354063700602,1123.2146144104381,263.99,35.820791959622,3945.0487210402157,4070.8615155800458
2023-05-30,4.390616656,141.848537,1083.52689101744,1046.08029573481,263.99,37.44659528263,4070.8615155800458,4216.586374605786
2023-05-31,4.35967124,147.1208024,1075.3576106476,1036.519190022024,263.99,38.838420625576,4216.586374605786,4374.58205553238
2023-06-01,2.066354167,4.170460428,469.94483654633007,468.84387669794233,263.99,1.10095984838772,4374.58205553238,4384.854641858001
2023-06-02,2.236458333,8.180296275,514.8506353286699,512.6911189150327,263.99,2.15951641363725,4384.854641858001,4403.324174918266
2023-06-03,2.495520833,12.37352632,583.24054470367,579.9740574904532,263.99,3.2664872132168004,4403.324174918266,4428.124253348077
2023-06-04,2.734895833,16.62974067,646.43315095367,642.0430657141967,263.99,4.3900852394733,4428.124253348077,4458.40235144038
2023-06-05,2.9925,20.66711938,714.438075,708.9821621548738,263.99,5.4559128451262,4458.40235144038,4492.71161330394
2023-06-06,3.195104167,24.51536022,767.9235490463301,761.4517391018522,263.99,6.471809944477801,4492.71161330394,4530.896535871649
2023-06-07,3.378229167,28.62858794,816.2667177963301,808.7090568660495,263.99,7.5576609302806,4530.896535871649,4573.239303567365
2023-06-08,3.621458333,32.81209206,880.4767853286701,871.8147211457507,263.99,8.6620641829194,4573.239303567365,4618.677504380594
2023-06-09,3.883541667,37.29719535,949.66416467133,939.8180780708835,263.99,9.846086600446501,4618.677504380594,4667.065484723567
2023-06-10,3.856145833,42.04178597,942.43193845367,931.3333273754497,263.99,11.0986110782203,4667.065484723567,4722.68246219983
2023-06-11,3.5403125,47.49078679,859.0550968750001,846.518004070308,263.99,12.537092804692099,4722.68246219983,4792.62628859336
2023-06-12,3.057083333,52.95406629,731.4874290786701,717.508085118773,263.99,13.9793439598971,4792.62628859336,4886.001921215537
2023-06-13,2.756875,57.38109491,652.23543125,637.0873960047091,263.99,15.1480352452909,4886.001921215537,5002.176452018191
2023-06-14,2.6109375,61.94033475,613.709390625,597.3577616543474,263.99,16.3516289706525,5002.176452018191,5139.102325656484
2023-06-15,2.5203125,66.17336462,589.7852968750001,572.3161903489663,263.99,17.4691065260338,5139.102325656484,5295.965834830217
2023-06-16,2.819479167,69.72547035,668.7623052963299,650.3554783786334,263.99,18.4068269176965,5295.965834830217,5445.856055985548
2023-06-17,2.87125,72.83368523,682.4292875,663.2019229361323,263.99,19.227364563867702,5445.856055985548,5603.740790829515
2023-06-18,2.957604167,76.42456012,705.22592404633,685.0506044202511,263.99,20.1753196260788,5603.740790829515,5768.775696028029
2023-06-19,3.124895833,80.18453039,749.3892509536701,728.2213367760139,263.99,21.1679141776561,5768.775696028029,5936.46228069237
2023-06-20,3.3303125,84.02967922,803.617196875,781.4342018577122,263.99,22.1829950172878,5936.46228069237,6104.983843838507
2023-06-21,3.509270833,87.59326051,850.86040720367,827.7366623616351,263.99,23.1237448420349,6104.983843838507,6275.533361685029
2023-06-22,3.676666667,91.21854557,895.05123342133,870.9704495763058,263.99,24.080783845024303,6275.533361685029,6449.040697632523
2023-06-23,3.76625,95.07928326,918.7003374999999,893.6003575121925,263.99,25.0999799878074,6449.040697632523,6630.18520041874
2023-06-24,3.779270833,98.98213905,922.1377072036701,896.0074123158605,263.99,26.1302948878095,6630.18520041874,6823.541518755377
2023-06-25,3.736041667,102.8639191,910.72563967133,883.570593668121,263.99,27.155046003209,6823.541518755377,7033.2515126986655
2023-06-26,3.6515625,106.66028,888.4239843749999,860.2667370577999,263.99,28.157247317200003,7033.2515126986655,7263.455696768869
2023-06-27,3.581770833,111.1986284,869.9996822036701,840.6443562923541,263.99,29.355325911316,7263.455696768869,7517.095785618643
2023-06-28,3.511354167,115.2787278,851.41038654633,820.977955194408,263.99,30.432431351922002,7517.095785618643,7795.7433424918245
2023-06-29,3.6603125,118.5414451,890.733896875,859.440140783051,263.99,31.293756091949003,7795.7433424918245,8079.600331639551
