Date,Saturation_vapour,Actual_vapour,Solar-Irradiance,Slope,Psychrometric constant,Radiation-Based_evaporation,Aerodynamics_evaporation,Evaporation,wind_speed
29-05-2018,4.17913309,3.350762453,273.025298,240.1245084,67.08577461,9.710807874,3.009219341,8.247376203,7.068840427
30-05-2018,4.344301523,3.208748427,273.0826849,248.331736,67.12957258,9.719190085,6.541769059,9.043040873,5.344948189
31-05-2018,4.331799247,2.97360062,273.0790224,247.7121088,67.12630667,9.718586898,9.192233081,9.606363656,5.379654871
01-06-2018,4.195594926,2.985670934,273.2066152,240.9445883,67.09020436,9.717898494,7.786863351,9.29731762,6.119214706
02-06-2018,4.149660296,3.023837695,273.3344259,238.6550862,67.07780701,9.720648136,7.436940265,9.219602553,6.280808576
03-06-2018,4.159682079,3.101261995,273.4752729,239.154911,67.08052159,9.726050692,8.511324055,9.45996621,7.645929353
04-06-2018,4.216885018,3.17219365,273.6043175,242.0045039,67.09591176,9.732872576,8.681057652,9.504556864,7.900887191
05-06-2018,4.280915349,3.165404189,273.6841769,245.1875441,67.11293235,9.738183082,8.454220818,9.462261401,7.205944195
06-06-2018,4.211256958,3.192991074,273.7747212,241.7243899,67.09440536,9.738715663,8.395183161,9.446817904,7.838991778
07-06-2018,4.191438398,3.219633503,273.857277,240.7375666,67.08908725,9.740880192,8.994220594,9.578149933,8.799858315
08-06-2018,4.222684055,3.385003128,274.0045382,242.2930707,67.09746217,9.747334774,7.118725711,9.177268859,8.080065087
09-06-2018,4.274574771,3.420053611,274.0765014,244.8726557,67.11125646,9.751899184,6.688986923,9.093032229,7.44266981
10-06-2018,4.277648443,3.397879621,274.1120525,245.0253102,67.11206913,9.75328223,6.753167037,9.108233121,7.298441841
11-06-2018,4.228516662,3.338446435,274.1213549,242.5832498,67.09901974,9.751716733,7.970063591,9.365685012,8.513903814
12-06-2018,4.140096902,3.232287334,274.0990062,238.1779594,67.07521146,9.74746188,9.144279068,9.614920703,9.577362884
13-06-2018,4.091288712,3.141314285,274.0770598,235.7403696,67.06188573,9.74474509,10.34861965,9.878485728,10.35766207
14-06-2018,4.063317966,3.075426696,274.0612532,234.3415473,67.05418881,9.743064728,10.80641464,9.979637637,10.40072723
15-06-2018,4.079876104,3.035704188,274.052658,235.1697911,67.05875059,9.743421967,10.16213336,9.836326042,9.253459076
16-06-2018,4.088123968,3.115545285,274.1020417,235.58217,67.06101708,9.745507083,8.801247181,9.536273794,8.604203997
17-06-2018,4.084446493,3.195573149,274.1444527,235.3983175,67.06000699,9.746868164,7.584137844,9.267355125,8.112553279
18-06-2018,4.154210201,3.107573527,274.0908857,238.8820291,67.07904012,9.747729461,7.481931411,9.250974895,6.796870592
19-06-2018,4.159827576,3.09947538,274.073424,239.1621662,67.08056096,9.747329444,7.915531782,9.346085581,7.097757932
20-06-2018,4.095455496,3.153028161,274.0825563,235.9486323,67.06302855,9.745106579,7.350107677,9.215041567,7.415442199
21-06-2018,4.145693558,3.157896453,274.0592518,238.4572013,67.07673103,9.746268931,6.704781574,9.078542673,6.453690169
22-06-2018,4.124867468,3.165651748,274.0311163,237.4178178,67.0710677,9.744445571,6.592378729,9.050126341,6.534571113
23-06-2018,4.153014215,3.124532079,273.9705668,238.8223785,67.07871609,9.743403391,6.869174724,9.113135725,6.350370112
24-06-2018,4.130427453,3.062219362,273.892079,237.6953787,67.072582,9.739721346,7.37238739,9.218724321,6.562110078
25-06-2018,4.061395215,3.071768817,273.845895,234.2453389,67.05365808,9.735331545,7.51342846,9.240850212,7.218685327
26-06-2018,4.061706291,3.172070976,273.8418672,234.2609046,67.05374396,9.735200822,5.71671429,8.840937737,6.109781791
27-06-2018,4.054679797,3.082947555,273.7300634,233.9092688,67.05180278,9.730944436,4.243457932,8.508374816,4.152068549
28-06-2018,4.182849125,3.097072553,273.6670883,240.3096713,67.08677585,9.733779973,3.375407415,8.346116847,2.955813036
29-06-2018,4.008559747,3.342511456,273.7194339,231.5990224,67.03899085,9.728707317,2.310612243,8.063475211,3.298470306
30-06-2018,4.274382256,3.27058014,273.5984257,244.8630939,67.11120554,9.734881417,3.881435379,8.475701347,3.676507703
01-07-2018,4.402505199,3.293372054,273.5356529,251.2129654,67.14467387,9.737501512,5.185333624,8.777405725,4.445127755
02-07-2018,4.241970847,3.332371613,273.4588176,243.2523894,67.10260577,9.728667235,6.238694873,8.974091852,6.521310613
03-07-2018,4.185321202,3.261616684,273.3188937,240.4328368,67.0874415,9.721491858,8.151513871,9.378991497,8.39066595
04-07-2018,4.148242405,3.219361761,273.1866255,238.5843564,67.07742251,9.715336193,8.119891409,9.365216122,8.31154069
05-07-2018,4.172453813,3.199508695,273.0590308,239.7916328,67.0839731,9.711746858,7.19063629,9.160624154,7.027004085
06-07-2018,4.169608325,3.114801572,272.8903012,239.6497984,67.08320489,9.705634599,7.273737592,9.173773197,6.556558714
07-07-2018,4.086587598,3.025577388,272.7114542,235.5053633,67.06059518,9.696004711,7.450503642,9.198312773,6.676629782
08-07-2018,4.085298334,3.013097619,272.5662353,235.4409068,67.06024104,9.69079041,7.440895343,9.192020383,6.5984257
09-07-2018,4.071757736,3.069356165,272.450519,234.7637686,67.05651592,9.68613817,6.805103802,9.046048233,6.454821581
10-07-2018,4.068670713,3.101232795,272.3142045,234.609347,67.0556652,9.681169106,6.991304279,9.083251986,6.871100894
11-07-2018,4.0027448,3.113878992,272.1600939,231.3074673,67.03736671,9.673049928,6.964964911,9.064549738,7.4503034
12-07-2018,4.063823136,3.11576729,271.9925998,234.3668233,67.05432821,9.669542792,7.199939963,9.120153481,7.220814386
13-07-2018,4.086127006,3.114823351,271.8157829,235.4823364,67.06046867,9.664141712,6.106133906,8.875487456,5.97726524
14-07-2018,4.142403456,3.070031345,271.6077247,238.2930503,67.07583793,9.658957562,6.715563527,9.01242601,5.954265254
15-07-2018,4.092670445,3.138966388,271.4518335,235.8094343,67.0622648,9.651460342,5.901772898,8.821199433,5.883829651
16-07-2018,4.021921216,3.215686335,271.2913259,232.2687199,67.04271529,9.642941673,5.029677064,8.609617351,5.931571163
17-07-2018,4.046877302,3.246890624,271.0984203,233.518695,67.04964392,9.637080764,3.914317706,8.360468508,4.652266069
18-07-2018,4.024136397,3.284632157,270.9002124,232.379717,67.04333175,9.629128239,3.871786621,8.340011166,4.97808117
19-07-2018,3.984740658,3.194847893,270.6272004,230.4043695,67.03232547,9.617844874,4.361283273,8.43319095,5.249735066
20-07-2018,3.936656529,3.128655006,270.3570707,227.9895374,67.01876728,9.606301339,5.105178018,8.583754748,6.007446862
21-07-2018,3.883966003,3.076448937,270.0849189,225.3384605,67.00374952,9.594480852,5.790869583,8.722707266,6.818412968
22-07-2018,3.82475838,3.008156366,269.7946071,222.3532699,66.98666859,9.581724617,6.261838768,8.813119722,7.290925505
23-07-2018,3.822724186,3.014149854,269.5346005,222.2505898,66.98607781,9.572406089,5.761635382,8.68984654,6.775120865
24-07-2018,3.826751738,3.046103654,269.2788612,222.4538811,66.98724727,9.563490573,5.576657498,8.640791804,6.792191175
