Date,Saturation_vapour,Actual_vapour,Solar-Irradiance,Slope,Radiation-Based_evaporation,Aerodynamics_evaporation,Evaporation
08-08-2023,3.740430444,3.13252354,38.81095748,218.0899825,1.949138165,6.944102874,3.128376114
09-08-2023,3.754577522,3.119608443,38.74477992,218.8061622,2.119793386,6.657935468,3.18850125
10-08-2023,3.760647234,3.101609858,38.67674495,219.1133151,2.283151334,6.404608711,3.25269171
11-08-2023,3.767786633,3.093453224,38.60683018,219.4745074,2.322750621,6.42989048,3.287706445
12-08-2023,3.69430548,3.04844201,38.53501404,215.7522397,1.91066911,7.472709492,3.234626576
13-08-2023,3.657781978,3.076857408,38.46127588,213.8981461,1.844502312,6.949148092,3.067592938
14-08-2023,3.67233447,3.117565666,38.38559601,214.6372123,2.091341552,5.841477285,2.987532329
15-08-2023,3.701779394,3.086604665,38.30795576,216.1313226,2.833191325,4.771763368,3.294021383
16-08-2023,3.729346251,3.025360182,38.22833754,217.5285852,2.647534456,5.831431712,3.400686951
17-08-2023,3.678280441,2.961051962,38.14672493,214.9390644,2.063770892,7.605375114,3.386663016
18-08-2023,3.697030978,2.906893683,38.06310271,215.8904919,2.161218897,7.983169137,3.54636756
19-08-2023,3.796012039,2.894123433,37.97745692,220.9015062,2.38814683,8.227825901,3.753364704
20-08-2023,3.752356681,2.965694351,37.88977493,218.6937604,2.952257891,5.791931619,3.621248396
21-08-2023,3.720173215,3.063072395,37.80004551,217.0638034,2.454981655,5.804214035,3.248538725
22-08-2023,3.723269032,2.985781213,37.70825884,217.2206815,2.131656701,7.484131425,3.399156991
23-08-2023,3.680677082,2.983812081,37.6144066,215.0607121,1.843565011,8.156648537,3.349975678
24-08-2023,3.674192185,2.984107833,37.51848202,214.7315283,1.888023193,7.866969233,3.316367503
25-08-2023,3.70247035,3.00442351,37.42047993,216.1663629,1.981245797,7.563501517,3.308074663
26-08-2023,3.715910513,2.96190973,37.32039678,216.8477635,2.111987117,7.643532609,3.423611038
27-08-2023,3.628627261,2.914615226,37.21823072,212.4162138,2.054584771,7.420010665,3.346967726
28-08-2023,3.582031387,2.88454856,37.11398163,210.0441882,1.842538769,8.059753715,3.352897627
29-08-2023,3.729786856,2.906746534,37.00765115,217.5509058,2.54077469,6.877234252,3.566486027
30-08-2023,3.786049242,2.91865514,36.89924275,220.3979899,3.124496693,5.876533109,3.769001731
31-08-2023,3.824431376,2.894045455,36.78876174,222.3367642,3.450143896,5.691260044,3.971483425
01-09-2023,3.952509317,2.834355327,36.78876174,228.7861492,3.609607866,6.537686662,4.275920289
02-09-2023,3.914295534,2.813577613,36.67621533,226.8650945,3.096278791,7.479762904,4.100294676
03-09-2023,3.918460122,2.791574749,36.56161261,227.0745849,2.88219765,8.200657294,4.099498559
04-09-2023,3.87738106,2.821604972,36.44496465,225.0067807,2.866170368,7.701488859,3.9807152
05-09-2023,3.988445077,2.936022389,36.32628448,230.5902334,3.426967888,6.399830694,4.099375674
06-09-2023,4.044507631,2.927875486,36.20558712,233.4000535,2.999110669,7.733223595,4.059879135
07-09-2023,3.935231307,3.002538353,36.08288962,227.9178964,2.265077811,8.52362272,3.693456964
08-09-2023,3.864546091,3.091257418,35.95821105,224.3600567,1.902676729,8.383822169,3.399897451
09-09-2023,3.841292678,3.050083683,35.83157256,223.1875804,1.899207402,8.563514338,3.444952361
10-09-2023,3.763224573,3.052643962,35.70299732,219.2437177,1.971492423,7.382275637,3.243757489
11-09-2023,3.781485358,3.002538576,35.57251062,220.167269,1.939090141,8.197692907,3.405981098
12-09-2023,3.812773364,2.98465351,35.44013979,221.748188,2.230076013,7.549814744,3.470098967
13-09-2023,3.851688361,2.969760999,35.30591427,223.7118746,2.592094398,6.891230941,3.58745676
14-09-2023,3.921673937,3.022917972,35.16986556,227.2362266,3.039894756,5.965148833,3.709066117
15-09-2023,3.887830372,3.061210193,35.03202726,225.5330686,3.027437679,5.487359319,3.593432906
16-09-2023,3.846653436,3.085977813,34.89243503,223.4579696,2.685961974,5.668892947,3.377191263
17-09-2023,3.806823565,3.169459758,34.75112661,221.4477014,2.194992909,5.788826101,3.033581397
18-09-2023,3.864050137,3.27181275,34.60814178,224.3350605,2.258122258,5.207076858,2.939423778
19-09-2023,3.819543769,3.352956221,34.46352235,222.090036,2.283781891,4.03929452,2.69250598
20-09-2023,3.807718821,3.330726418,34.31731216,221.4929194,3.216534605,2.919468792,3.147227833
21-09-2023,3.824262167,3.301337271,34.16955706,222.3282233,2.74281446,3.737227842,2.974146642
22-09-2023,3.936490355,3.3459173,34.02030485,227.9811846,3.682000769,3.13036726,3.556129182
23-09-2023,3.970299844,3.464552352,33.86960528,229.6795832,3.292985671,2.984154954,3.22291963
24-09-2023,4.010788985,3.367689428,33.71751002,231.7107777,3.110955463,3.998593454,3.310970992
25-09-2023,3.969948329,3.131723633,33.56407263,229.6619359,4.409342607,3.660400433,4.239416082
26-09-2023,4.051670161,3.027023911,33.4093485,233.7586267,7.196060245,2.729068957,6.196337222
27-09-2023,4.14149646,3.118321415,33.25339484,238.2477947,4.766367097,4.095111949,4.6183451
28-09-2023,4.255948931,3.250004115,33.09627063,243.9472577,4.371378405,4.369202282,4.370907321
29-09-2023,4.183002277,3.113453286,32.93803654,240.317302,4.038350176,5.004512204,4.249970778
30-09-2023,4.215926252,3.017413201,32.77875495,241.956789,4.373641953,5.152990394,4.543439697
01-10-2023,4.106994521,2.46116387,32.45730683,236.5252112,4.721252658,6.490941919,5.113707946
02-10-2023,4.181311645,2.458170571,32.29527296,240.2330645,4.059761187,7.863694721,4.893173293
03-10-2023,4.13617467,2.753359617,32.1324568,237.9822293,3.532486896,7.215971507,4.345457786
04-10-2023,4.064319991,2.741689665,31.96892832,234.3916828,2.983799313,8.129508375,4.133005241
05-10-2023,3.96365554,2.788739409,31.80475883,229.3459766,2.784917015,7.6975772,3.900730952
06-10-2023,3.935716923,2.792516412,31.64002093,227.9423071,2.556104206,8.117979595,3.82537851
07-10-2023,3.942938453,2.804931195,31.47478844,228.3052632,2.731310836,7.523225204,3.823530247
